,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
55,56,0.062127999999999996,484.9144990986351,373.77774916301826,0.4127613903731632,0.1955749529417316,-0.13650889192800883,1.0406660889654817,187.0,187.0,187.0,115.20576873551377,115.20576873551377,115.20576873551377,47.0,47.0,47.0
56,57,0.09833599999999999,908.6775138301334,670.0854214123007,0.4453316216683151,0.28847915674322056,-0.09573449009844985,1.2636955262170044,177.0,177.0,177.0,107.91392775789132,107.91392775789132,107.91392775789132,45.0,45.0,45.0
57,58,0.148448,778.6109075231731,856.7253718473809,0.5332824789961428,0.37777429983353783,1.1197282459625926,1.6225870119269028,192.0,192.0,192.0,112.96734209959043,112.96734209959043,112.96734209959043,37.0,37.0,37.0
58,59,0.211472,407.4647045471741,220.42816070212604,0.6685704281712119,0.4049852849244274,-0.40707609076239654,1.8326946596652274,190.0,190.0,190.0,110.32632216085345,110.32632216085345,110.32632216085345,50.0,50.0,50.0
59,61,0.000144,247.44444444444446,219.11111111111111,0.43190080593392366,0.10944693739539789,-0.04379893135725439,0.0,117.0,117.0,117.0,96.11111111111111,96.11111111111111,96.11111111111111,65.0,65.0,65.0
60,62,0.000192,391.8333333333333,274.1666666666667,0.40730815554839783,0.16164315905167959,0.1268698804054773,0.02,122.0,122.0,122.0,92.66666666666667,92.66666666666667,92.66666666666667,55.0,55.0,55.0
61,63,0.146736,716.7206411514557,949.6905462872097,0.5753882966298731,0.331269337583319,1.545825833800013,1.5408813844421316,185.0,185.0,185.0,106.90698942318177,106.90698942318177,106.90698942318177,37.0,37.0,37.0
62,64,0.12374399999999999,106.30087923454874,1162.8352728213085,0.5963703019199565,0.26710051304693383,-1.2464292434629953,1.498302740679441,187.0,187.0,187.0,108.44698732867856,108.44698732867856,108.44698732867856,50.0,50.0,50.0
63,65,0.13203199999999998,244.36609306834706,549.9345613184682,0.5507406828513535,0.3144101488768733,0.3445685026727076,1.5028225099390857,180.0,180.0,180.0,106.76999515269026,106.76999515269026,106.76999515269026,50.0,50.0,50.0
64,66,0.08607999999999999,269.3314126394052,683.5747211895911,0.44433181394240356,0.25286032118302876,1.3822616385844633,1.1887148622007608,170.0,170.0,170.0,100.90762081784386,100.90762081784386,100.90762081784386,47.0,47.0,47.0
65,67,0.088784,787.9178230311768,949.4732384213372,0.402587843915907,0.29301201883361533,-0.8536793798103895,1.178205194208883,172.0,172.0,172.0,107.13299693638493,107.13299693638493,107.13299693638493,25.0,25.0,25.0
66,68,0.039552,882.5457119741101,919.5663430420713,0.36063077728490217,0.1416487778001917,0.007912072112346258,0.8564995667241114,155.0,155.0,155.0,88.74797734627832,88.74797734627832,88.74797734627832,17.0,17.0,17.0
67,69,0.09224,817.204509973981,1169.5002601908066,0.41601274837153396,0.2878039824032907,0.775499526229117,1.194940258945177,172.0,172.0,172.0,101.5949696444059,101.5949696444059,101.5949696444059,37.0,37.0,37.0
68,70,0.187824,912.4784053156146,1215.3144220120964,0.593744882970585,0.4195034716458951,-1.4112242852970678,1.7454701294725885,172.0,172.0,172.0,107.89922480620154,107.89922480620154,107.89922480620154,15.0,15.0,15.0
69,71,0.000192,881.6666666666666,1178.5833333333333,0.41397876496198105,0.3502447143617311,-0.3161477811727773,0.005656854249492381,100.0,100.0,100.0,78.66666666666667,78.66666666666667,78.66666666666667,60.0,60.0,60.0
70,72,1.32464,464.93250392559486,617.5079115835246,1.4418311560484067,1.1940345002145083,-0.4568250391413823,4.980634052058627,182.0,182.0,182.0,98.71149897330595,98.71149897330595,98.71149897330595,40.0,40.0,40.0
71,73,0.239504,473.9090787627764,944.8195604248781,0.8392661003559778,0.394281991609892,1.276732359876744,2.1942337649086285,165.0,165.0,165.0,93.11283318858975,93.11283318858975,93.11283318858975,30.0,30.0,30.0
72,74,0.2712,308.6810619469027,823.6500884955752,0.6537872207571468,0.5595009750312622,-0.9656672005310867,2.177998266896446,170.0,170.0,170.0,101.5022418879056,101.5022418879056,101.5022418879056,45.0,45.0,45.0
73,75,0.115312,696.0295545996947,26.299708616622727,0.585493851081106,0.27063968508817354,-0.053116914696732465,1.5030580079512685,202.0,202.0,202.0,113.95851255723602,113.95851255723602,113.95851255723602,30.0,30.0,30.0
74,76,0.000592,828.6756756756756,135.56756756756758,0.7107458970832452,0.2630886406100567,-0.19068029249729926,0.04565685424949238,142.0,142.0,142.0,102.37837837837837,102.37837837837837,102.37837837837837,72.0,72.0,72.0
75,77,0.379104,670.4227652570271,810.3835570186545,0.8396235797071815,0.5889948576489465,-0.9408604285297317,2.5186155826266488,187.0,187.0,187.0,112.49354266903013,112.49354266903013,112.49354266903013,37.0,37.0,37.0
76,78,0.44156799999999996,598.9120226103341,995.241539241974,0.8479954123719364,0.6722695105204627,1.3391359235010796,2.644008368164213,165.0,165.0,165.0,100.19972461772592,100.19972461772592,100.19972461772592,47.0,47.0,47.0
77,79,0.2224,699.5015107913669,1099.8146043165468,0.6216298984486931,0.5485866935121693,-0.44637880086503184,2.210469262920811,175.0,175.0,175.0,99.82460431654677,99.82460431654677,99.82460431654677,35.0,35.0,35.0
78,80,0.357936,602.9929372848777,1203.3108935675652,0.7602025313575675,0.6779483767640856,1.087923057274168,2.6994398256692884,162.0,162.0,162.0,95.08882034777167,95.08882034777167,95.08882034777167,32.0,32.0,32.0
79,81,0.182752,524.7433899492208,440.28576431448084,0.850390934684085,0.32162568191538676,0.28788192672372703,2.3228712831743645,167.0,167.0,167.0,103.89406408684994,103.89406408684994,103.89406408684994,35.0,35.0,35.0
80,82,0.103152,27.10594074763456,383.3724212812161,0.505701818050338,0.283843645545437,-1.5209749580433038,1.4082640687119286,147.0,147.0,147.0,98.34558709477277,98.34558709477277,98.34558709477277,52.0,52.0,52.0
81,83,0.280512,42.34873374401095,229.82460643394936,0.9970277848307278,0.3934934948408109,1.4077849047898374,2.518518036156091,172.0,172.0,172.0,101.30601186402008,101.30601186402008,101.30601186402008,32.0,32.0,32.0
82,84,0.424,45.835584905660376,1096.8478490566038,1.2958866744336002,0.4923446316335232,-1.5045606855351594,3.456861181906598,190.0,190.0,190.0,112.27162264150944,112.27162264150944,112.27162264150944,47.0,47.0,47.0
83,85,0.16006399999999998,355.4589164334266,931.4234306277489,0.5130827824274272,0.4079891187174814,0.04316707477807824,1.6174987001723342,172.0,172.0,172.0,99.53858456617353,99.53858456617353,99.53858456617353,30.0,30.0,30.0
